Region,Category,State,Brand,Store,Order Type,Payment Method,Time,Total Orders,Gross Sales,Discount Amount,Disc Percent,Net Sales,COGS,Gross Margin Amount,Gross Margin %,Net Margin Amount,Net Margin %,Avg Order to Req Days,Avg Order to Delivery Days,Avg Order Value
East,Cameras,Assam,Aiptek,Guwahati,Website,Credit Card,Jun-2012,1.0,5000.0,1100.0,22.0,3900.0,3750.0,1250.0,25.0,150.0,3.8461538461538463,4.0,13.0,5000.0
East,Cameras,Assam,Aiptek,Guwahati,Website,Credit Card EMI,Aug-2012,1.0,20000.0,1400.0,7.000000000000001,18600.0,11000.0,9000.0,45.0,7600.0,40.86021505376344,9.0,14.0,20000.0
East,Cameras,Assam,Aiptek,Guwahati,Website,Net Banking,Feb-2012,1.0,8000.0,1920.0,24.0,6080.0,5200.0,2800.0,35.0,880.0,14.473684210526317,9.0,12.0,8000.0
East,Cameras,Assam,Canon,Guwahati,Catalogue,Credit Card,Apr-2012,1.0,62000.0,21080.0,34.0,40920.0,43400.0,18600.0,30.0,-2480.0,-6.0606060606060606,9.0,11.0,62000.0
East,Cameras,Assam,Canon,Guwahati,Contact Center,Gift Coupons,Feb-2012,1.0,17000.0,2380.0,14.000000000000002,14620.0,11050.0,5950.0,35.0,3570.0,24.418604651162788,7.0,10.0,17000.0
East,Cameras,Assam,Canon,Guwahati,Website,Cash on Delivery,Sep-2012,1.0,40000.0,2800.0,7.000000000000001,37200.0,28000.0,12000.0,30.0,9200.0,24.731182795698924,9.0,10.0,40000.0
East,Cameras,Assam,Canon,Guwahati,Website,Credit Card,May-2012,1.0,31000.0,4960.0,16.0,26040.0,20150.0,10850.0,35.0,5890.0,22.61904761904762,10.0,15.0,31000.0
East,Cameras,Assam,Canon,Guwahati,Website,Gift Coupons,Oct-2012,1.0,10000.0,1500.0,15.0,8500.0,6500.0,3500.0,35.0,2000.0,23.52941176470588,7.0,7.0,10000.0
East,Cameras,Assam,Canon,Tinsukia,Contact Center,Debit Card,Nov-2012,1.0,8000.0,640.0,8.0,7360.0,4400.0,3600.0,45.0,2960.0,40.21739130434783,5.0,8.0,8000.0
East,Cameras,Assam,Canon,Tinsukia,Contact Center,Net Banking,Jul-2012,1.0,40000.0,3200.0,8.0,36800.0,28000.0,12000.0,30.0,8800.0,23.91304347826087,5.0,7.0,40000.0
